
-------------------------------------------------------
| otype | old_label            | new_label
-------------------------------------------------------
| Ir*   | Irregular_V*         | IrregularV*
| LXB   | LMXB                 | LowMassXBin
| No*   | Nova                 | Nova
| El*   | EllipVar             | EllipVar
| HH    | HH                   | HerbigHaroObj
| Mi*   | Mira                 | Mira
| SX*   | pulsV*SX             | SXPheV*
| cC*   | deltaCep             | ClassicalCep
| bC*   | PulsV*bCep           | bCepV*
| RR*   | RRLyr                | RRLyrae
| Psr   | Pulsar               | Pulsar
| a2*   | RotV*alf2CVn         | alf2CVnV*
| Or*   | Orion_V*             | OrionV*
| Be*   | Be*                  | Be*
| WR*   | WR*                  | WolfRayet*
| RG*   | RGB*                 | RGB*
| BD*   | brownD*              | BrownD*
| s*r   | RedSG*               | RedSG
| HXB   | HMXB                 | HighMassXBin
| EB*   | EB*                  | EclBin
| Er*   | Eruptive*            | Eruptive*
| RC*   | Erupt*RCrB           | RCrBV*
| *     | Star                 | Star
| TT*   | TTau*                | TTauri*
| HS*   | HotSubdwarf          | HotSubdwarf
| BS*   | BlueStraggler        | BlueStraggler
| sg*   | SG*                  | Supergiant
| s*y   | YellowSG*            | YellowSG
| Y*O   | YSO                  | YSO
| s*b   | BlueSG*              | BlueSG
| N*    | Neutron*             | Neutron*
| Ro*   | RotV*                | RotV*
| SB*   | SB*                  | SB*
| HB*   | HB*                  | HorBranch*
| gD*   | gammaDor             | gammaDorV*
| Ae*   | Ae*                  | Ae*
| WV*   | PulsV*WVir           | Type2Cep
| Pu*   | PulsV*               | PulsV*
| out   | Outflow              | Outflow
| dS*   | PulsV*delSct         | delSctV*
| BY*   | BYDra                | BYDraV*
| RS*   | RSCVn                | RSCVnV*
| Ce*   | Cepheid              | Cepheid
| C*    | C*                   | C*
| Sy*   | Symbiotic*           | Symbiotic*
| Pe*   | Pec*                 | ChemPec*
| S*    | S*                   | S*
| XB*   | XB                   | XrayBin
| CV*   | CataclyV*            | CataclyV*
| LP*   | LPV*                 | LongPeriodV*
| **    | **                   | **
| AB*   | AGB*                 | AGB*
| SN*   | SN                   | Supernova
| OH*   | OH/IR                | OH/IR*
| LM*   | low-mass*            | Low-Mass*
| Pl    | Planet               | Planet
| pA*   | post-AGB*            | post-AGB*
| RV*   | PulsV*RVTau          | RVTauV*
| V*    | V*                   | Variable*
| PN    | PN                   | PlanetaryNeb
| Em*   | Em*                  | EmLine*
| PM*   | PM*                  | HighPM*
| WD*   | WD*                  | WhiteDwarf
| HV*   | HV*                  | HighVel*
| GlC   | GlCl                 | GlobCluster
| St*   | Stream*              | Stream
| OpC   | OpCl                 | OpenCluster
| MGr   | MouvGroup            | MouvGroup
| Cl*   | Cl*                  | Cluster*
| As*   | Assoc*               | Association
| RNe   | RfNeb                | RefNeb
| SFR   | SFregion             | StarFormingReg
| GNe   | GalNeb               | GalNeb
| HII   | HII                  | HIIReg
| MoC   | MolCld               | MolCld
| Cld   | Cloud                | Cloud
| DNe   | DkNeb                | DarkNeb
| glb   | Globule              | Globule
| cor   | denseCore            | denseCore
| bub   | Bubble               | Bubble
| CGb   | ComGlob              | ComGlob
| SNR   | SNR                  | SNRemnant
| HVC   | HVCld                | HVCld
| ISM   | ISM                  | ISM
| sh    | HIshell              | HIshell
| Sy1   | Seyfert_1            | Seyfert1
| BLL   | BLLac                | BLLac
| LSB   | LSB_G                | LowSurfBrghtG
| Bla   | Blazar               | Blazar
